Pais,CodigoISOpaís,Oficinaderegistro,Grupoedad,Edad,areaConocimiento,SubAreaConocimiento,NivelAcademico,Estadocivil,Genero,Etniadelapersona,Estatura ,Localizacion,Cantidaddepersonas
CHILE,CHL,C. ANTOFAGASTA,ADULTO MAYOR,61,NINGUNA,NINGUNA,BACHILLERATO,SOLTERO,MASCULINO,OTRO,-1,"(-35.675147, -71.542969)",1
ESPAÑA,ESP,C. SEVILLA,ADULTO,34,NO INDICA,NO INDICA,BACHILLERATO,SOLTERO,MASCULINO,SIN ETNIA REGISTRADA,169,"(40.463667, -3.74922)",1
ARGENTINA,ARG,C. BUENOS AIRES,ADULTO JOVEN,26,"AGRONOMÍA, VETERINARIA Y AFINES",AGRONOMÍA,NO INDICA,SOLTERO,MASCULINO,NINGUNA,-1,"(-38.416097, -63.616672)",2
ARGENTINA,ARG,C. BUENOS AIRES,ADULTO,42,BELLAS ARTES,DISEÑO,NO INDICA,SOLTERO,MASCULINO,OTRO,-1,"(-38.416097, -63.616672)",1
ESPAÑA,ESP,C. MADRID,ADULTO MAYOR,61,NO INDICA,NO INDICA,PREGRADO - TÉCNICO PROFESIONAL,CASADO,FEMENINO,NINGUNA,153,"(40.463667, -3.74922)",1
NORUEGA,NOR,C. OSLO,ADULTO,48,CIENCIAS DE LA EDUCACIÓN,EDUCACIÓN,NO INDICA,CASADO,FEMENINO,OTRO,-1,"(60.472024, 8.468946)",1
VENEZUELA,VEN,C. CARACAS,ADULTO,58,"ECONOMÍA, ADMINISTRACIÓN CONTADURIA Y AFINES",CONTADURÍA PÚBLICA,NO INDICA,CASADO,MASCULINO,NINGUNA,-1,"(6.42375, -66.58973)",1
VENEZUELA,VEN,C. VALENCIA VEN,ADULTO,36,COCINA Y CULINARIA,COCINA Y CULINARIA,PREGRADO - PROFESIONAL,CASADO,FEMENINO,OTRO,-1,"(6.42375, -66.58973)",1
VENEZUELA,VEN,C. PUERTO LA CRUZ,ADULTO JOVEN,28,NO INDICA,NO INDICA,BACHILLERATO,DESCONOCIDO,FEMENINO,SIN ETNIA REGISTRADA,-1,"(6.42375, -66.58973)",1
CANADA,CAN,C. TORONTO,ADULTO MAYOR,60,"ECONOMÍA, ADMINISTRACIÓN CONTADURIA Y AFINES",ADMINISTRACIÓN,NO INDICA,UNION_LIBRE,FEMENINO,OTRO,-1,"(56.130366, -106.346771)",1
VENEZUELA,VEN,C. PUERTO LA CRUZ,ADULTO MAYOR,73,NO INDICA,NO INDICA,PREGRADO - TÉCNICO PROFESIONAL,SOLTERO,MASCULINO,OTRO,174,"(6.42375, -66.58973)",1
ESTADOS UNIDOS,USA,C. ATLANTA,ADULTO,45,NO INDICA,NO INDICA,POSTGRADO - DOCTORADO,SOLTERO,FEMENINO,NINGUNA,163,"(37.09024, -95.712891)",1
MEXICO,MEX,C. MEXICO,ADULTO,36,NINGUNA,NINGUNA,NO INDICA,CASADO,FEMENINO,NINGUNA,-1,"(23.634501, -102.552784)",4
ESPAÑA,ESP,C. MADRID,ADULTO MAYOR,61,NINGUNA,NINGUNA,BACHILLERATO,SOLTERO,MASCULINO,NINGUNA,161,"(40.463667, -3.74922)",1
VENEZUELA,VEN,C. MERIDA VEN,ADULTO,56,NINGUNA,NINGUNA,PRIMARIA,SOLTERO,FEMENINO,OTRO,152,"(6.42375, -66.58973)",1
FEDERACION DE RUSIA,RUS,C. MOSCU,ADULTO JOVEN,26,BELLAS ARTES,MÚSICA,NO INDICA,SOLTERO,FEMENINO,NINGUNA,-1,"(61.52401, 105.318756)",1
ESPAÑA,ESP,C. MADRID,ADULTO,29,"ECONOMÍA, ADMINISTRACIÓN CONTADURIA Y AFINES",ADMINISTRACIÓN,NO INDICA,SOLTERO,FEMENINO,NINGUNA,166,"(40.463667, -3.74922)",1
VENEZUELA,VEN,C. MARACAIBO,ADULTO MAYOR,98,NINGUNA,NINGUNA,NO INDICA,SOLTERO,FEMENINO,NINGUNA,-1,"(6.42375, -66.58973)",8
FRANCIA,FRA,C. PARIS,ADULTO,36,NINGUNA,NINGUNA,BACHILLERATO,SOLTERO,FEMENINO,NINGUNA,164,"(46.227638, 2.213749)",1
VENEZUELA,VEN,C. BARQUISIMETO,ADULTO MAYOR,75,NINGUNA,NINGUNA,BACHILLERATO,CASADO,FEMENINO,NINGUNA,157,"(6.42375, -66.58973)",1
PANAMA,PAN,C. PANAMA,ADULTO JOVEN,22,NINGUNA,NINGUNA,BACHILLERATO,CASADO,FEMENINO,NINGUNA,-1,"(8.537981, -80.782127)",1
VENEZUELA,VEN,C. MERIDA VEN,ADULTO,56,NINGUNA,NINGUNA,NINGUNO,SOLTERO,FEMENINO,NINGUNA,-1,"(6.42375, -66.58973)",1
VENEZUELA,VEN,C. SAN CRISTOBAL,ADULTO MAYOR,78,CIENCIAS SOCIALES Y HUMANAS,CIENCIA POLÍTICA Y/O RELACIONES INTERNACIONALES,NO INDICA,CASADO,FEMENINO,OTRO,-1,"(6.42375, -66.58973)",1
ESPAÑA,ESP,C. BILBAO,ADULTO,38,"INGENIERÍA, ARQUITECTURA Y AFINES","INGENIERÍA EN SISTEMAS, TELEMÁTICA Y AFINES",POSTGRADO - MAESTRIA,UNION_LIBRE,FEMENINO,NINGUNA,-1,"(40.463667, -3.74922)",1
AUSTRALIA,AUS,C. SYDNEY,ADULTO,35,NO INDICA,NO INDICA,POSTGRADO - MAESTRIA,SOLTERO,FEMENINO,NINGUNA,172,"(-25.274398, 133.775136)",1
VENEZUELA,VEN,C. CARACAS,DESCONOCIDO,-1,NO INDICA,NO INDICA,PRIMARIA,SOLTERO,FEMENINO,NINGUNA,-1,"(6.42375, -66.58973)",1
ESPAÑA,ESP,C. SEVILLA,ADULTO,34,NO INDICA,NO INDICA,BACHILLERATO,SOLTERO,FEMENINO,NINGUNA,155,"(40.463667, -3.74922)",1
ESPAÑA,ESP,C. VALENCIA ESP,ADULTO,52,NINGUNA,NINGUNA,BACHILLERATO,SOLTERO,FEMENINO,NINGUNA,160,"(40.463667, -3.74922)",1
ESTADOS UNIDOS,USA,C. WASHINGTON,ADULTO,39,NO INDICA,NO INDICA,PREGRADO - PROFESIONAL,CASADO,FEMENINO,OTRO,-1,"(37.09024, -95.712891)",1
ESTADOS UNIDOS,USA,C. MIAMI,ADULTO MAYOR,64,NINGUNA,NINGUNA,NO INDICA,CASADO,MASCULINO,NINGUNA,170,"(37.09024, -95.712891)",1
ESTADOS UNIDOS,USA,C. SAN FRANCISCO,ADULTO,54,NO INDICA,NO INDICA,PREGRADO - PROFESIONAL,DIVORCIADO,FEMENINO,NINGUNA,168,"(37.09024, -95.712891)",1
ESPAÑA,ESP,C. MADRID,ADOLESCENTE,17,NO INDICA,NO INDICA,PRIMARIA,SOLTERO,MASCULINO,SIN ETNIA REGISTRADA,150,"(40.463667, -3.74922)",1
ECUADOR,ECU,C. QUITO,INFANTE,11,NO INDICA,NO INDICA,PRIMARIA,SOLTERO,FEMENINO,SIN ETNIA REGISTRADA,-1,"(-1.831239, -78.183406)",1
PAISES BAJOS,NLD,C. AMSTERDAM,ADULTO MAYOR,67,"ECONOMÍA, ADMINISTRACIÓN CONTADURIA Y AFINES",ADMINISTRACIÓN,NO INDICA,CASADO,MASCULINO,NINGUNA,-1,"(52.132633, 5.291266)",1
ESPAÑA,ESP,C. MADRID,ADULTO,43,NINGUNA,NINGUNA,BACHILLERATO,SOLTERO,FEMENINO,OTRO,164,"(40.463667, -3.74922)",1
FRANCIA,FRA,C. PARIS,ADULTO,39,"INGENIERÍA, ARQUITECTURA Y AFINES",INGENIERÍA CIVIL Y AFINES,NO INDICA,CASADO,FEMENINO,OTRO,-1,"(46.227638, 2.213749)",1
MEXICO,MEX,C. GUADALAJARA,ADULTO,37,CIENCIAS SOCIALES Y HUMANAS,"LENGUAS MODERNAS, FILOLOGÍA, LINGÜÍSTICA Y AFINES",PREGRADO - PROFESIONAL,SOLTERO,FEMENINO,OTRO,-1,"(23.634501, -102.552784)",1
ARGENTINA,ARG,C. BUENOS AIRES,ADULTO,41,CIENCIAS SOCIALES Y HUMANAS,"FILOSOFÍA, TEOLOGÍA Y AFINES",PREGRADO - PROFESIONAL,SOLTERO,FEMENINO,OTRO,-1,"(-38.416097, -63.616672)",1
VENEZUELA,VEN,C. VALENCIA VEN,ADULTO,57,NO INDICA,NO INDICA,BACHILLERATO,SOLTERO,MASCULINO,SIN ETNIA REGISTRADA,174,"(6.42375, -66.58973)",1
ESTADOS UNIDOS,USA,C. MIAMI,ADULTO,47,NO INDICA,NO INDICA,POSTGRADO - MAESTRIA,CASADO,MASCULINO,OTRO,176,"(37.09024, -95.712891)",1
ESTADOS UNIDOS,USA,C. BOSTON,ADULTO,32,NINGUNA,NINGUNA,PREGRADO - PROFESIONAL,SOLTERO,FEMENINO,NINGUNA,176,"(37.09024, -95.712891)",1
PERU,PER,C. IQUITOS,ADULTO,45,CIENCIAS SOCIALES Y HUMANAS,"PERIODISMO, COMUNICACIÓN SOCIAL Y AFINES",NO INDICA,SOLTERO,FEMENINO,OTRO,-1,"(-9.189967, -75.015152)",1
ARGENTINA,ARG,C. BUENOS AIRES,ADULTO,33,"INGENIERÍA, ARQUITECTURA Y AFINES","INGENIERÍA ELECTRÓNICA, TELECOMUNICACIONES Y AFINES",PREGRADO - TÉCNICO PROFESIONAL,SOLTERO,MASCULINO,NINGUNA,-1,"(-38.416097, -63.616672)",1
ESPAÑA,ESP,C. MADRID,ADULTO,32,NO INDICA,NO INDICA,NO INDICA,SOLTERO,FEMENINO,NINGUNA,165,"(40.463667, -3.74922)",1
PERU,PER,C. LIMA,ADULTO,30,"INGENIERÍA, ARQUITECTURA Y AFINES",INGENIERÍA MECÁNICA Y AFINES,NO INDICA,SOLTERO,MASCULINO,INDÍGENA,-1,"(-9.189967, -75.015152)",1
ESTADOS UNIDOS,USA,C. HOUSTON,ADULTO MAYOR,66,CIENCIAS DE LA SALUD,ODONTOLOGÍA,PREGRADO - PROFESIONAL,CASADO,FEMENINO,OTRO,-1,"(37.09024, -95.712891)",1
VENEZUELA,VEN,C. VALENCIA VEN,ADULTO,49,NO INDICA,NO INDICA,PREGRADO - TÉCNICO PROFESIONAL,UNION_LIBRE,FEMENINO,NINGUNA,160,"(6.42375, -66.58973)",1
ESTADOS UNIDOS,USA,C. NUEVA YORK,ADULTO MAYOR,70,CIENCIAS DE LA SALUD,OTRO PROGRAMA DE SALUD,NO INDICA,CASADO,FEMENINO,OTRO,-1,"(37.09024, -95.712891)",2
ESPAÑA,ESP,C. MADRID,ADULTO,53,NO INDICA,NO INDICA,BACHILLERATO,DIVORCIADO,FEMENINO,NINGUNA,165,"(40.463667, -3.74922)",1
ESPAÑA,ESP,C. MADRID,ADULTO,33,NINGUNA,NINGUNA,NINGUNO,DESCONOCIDO,FEMENINO,OTRO,-1,"(40.463667, -3.74922)",1
ESTADOS UNIDOS,USA,C. SAN FRANCISCO,ADULTO,34,CIENCIAS DE LA SALUD,ODONTOLOGÍA,NO INDICA,SOLTERO,FEMENINO,NINGUNA,-1,"(37.09024, -95.712891)",2
VENEZUELA,VEN,C. MARACAIBO,ADULTO,57,NINGUNA,NINGUNA,PRIMARIA,SOLTERO,FEMENINO,OTRO,156,"(6.42375, -66.58973)",1
ESTADOS UNIDOS,USA,C. ATLANTA,ADULTO,50,NINGUNA,NINGUNA,NO INDICA,CASADO,MASCULINO,OTRO,166,"(37.09024, -95.712891)",1
ESPAÑA,ESP,C. BARCELONA,ADULTO MAYOR,65,NO INDICA,NO INDICA,PRIMARIA,CASADO,MASCULINO,NINGUNA,166,"(40.463667, -3.74922)",1
ARGENTINA,ARG,C. BUENOS AIRES,ADULTO JOVEN,26,NO INDICA,NO INDICA,BACHILLERATO,SOLTERO,MASCULINO,OTRO,182,"(-38.416097, -63.616672)",2
VENEZUELA,VEN,C. CARACAS,ADULTO,42,NINGUNA,NINGUNA,NO INDICA,DESCONOCIDO,MASCULINO,NINGUNA,-1,"(6.42375, -66.58973)",1
CHILE,CHL,C. SANTIAGO,ADULTO,41,NINGUNA,NINGUNA,PRIMARIA,SOLTERO,FEMENINO,AFRODESCENDIENTE,-1,"(-35.675147, -71.542969)",1
ESPAÑA,ESP,C. VALENCIA ESP,ADULTO,35,CIENCIAS SOCIALES Y HUMANAS,OTROS ESTUDIOS EN CIENCIAS SOCIALES Y HUMANAS,PREGRADO - PROFESIONAL,CASADO,FEMENINO,NINGUNA,-1,"(40.463667, -3.74922)",1
VENEZUELA,VEN,C. PUERTO LA CRUZ,ADULTO,55,NO INDICA,NO INDICA,PREGRADO - PROFESIONAL,CASADO,FEMENINO,NINGUNA,160,"(6.42375, -66.58973)",1
ESPAÑA,ESP,C. SEVILLA,ADULTO,29,"INGENIERÍA, ARQUITECTURA Y AFINES","INGENIERÍA EN SISTEMAS, TELEMÁTICA Y AFINES",NO INDICA,DIVORCIADO,MASCULINO,NINGUNA,-1,"(40.463667, -3.74922)",1
ESTADOS UNIDOS,USA,C. NEWARK,ADULTO,40,"ECONOMÍA, ADMINISTRACIÓN CONTADURIA Y AFINES",CONTADURÍA PÚBLICA,PREGRADO - TECNOLÓGICO,CASADO,FEMENINO,OTRO,-1,"(37.09024, -95.712891)",1
ESTADOS UNIDOS,USA,C. SAN FRANCISCO,ADULTO MAYOR,63,"AGRONOMÍA, VETERINARIA Y AFINES",AGRONOMÍA,POSTGRADO - MAESTRIA,CASADO,MASCULINO,NINGUNA,-1,"(37.09024, -95.712891)",1
ESTADOS UNIDOS,USA,C. ORLANDO,ADULTO MAYOR,61,NINGUNA,NINGUNA,PREGRADO - PROFESIONAL,CASADO,MASCULINO,NINGUNA,162,"(37.09024, -95.712891)",1
CHILE,CHL,C. SANTIAGO,ADULTO,32,CIENCIAS DE LA SALUD,MEDICINA,NO INDICA,SOLTERO,MASCULINO,OTRO,-1,"(-35.675147, -71.542969)",1
VENEZUELA,VEN,C. PUERTO LA CRUZ,ADULTO,51,NO INDICA,NO INDICA,PREGRADO - TECNOLÓGICO,SOLTERO,MASCULINO,NINGUNA,170,"(6.42375, -66.58973)",1
REPUBLICA DOMINICANA,DOM,C. SANTO DOMINGO,ADULTO MAYOR,70,"AGRONOMÍA, VETERINARIA Y AFINES",ZOOTECNIA,NO INDICA,DESCONOCIDO,MASCULINO,OTRO,-1,"(18.735693, -70.162651)",1
ESTADOS UNIDOS,USA,C. NEWARK,ADULTO,46,"INGENIERÍA, ARQUITECTURA Y AFINES",INGENIERÍA INDUSTRIAL Y AFINES,NO INDICA,CASADO,FEMENINO,OTRO,-1,"(37.09024, -95.712891)",3
CANADA,CAN,C. MONTREAL,ADULTO,51,NO INDICA,NO INDICA,PREGRADO - TECNOLÓGICO,CASADO,FEMENINO,OTRO,155,"(56.130366, -106.346771)",1
VENEZUELA,VEN,C. MARACAIBO,ADULTO,41,CIENCIAS SOCIALES Y HUMANAS,"SOCIOLOGÍA, TRABAJO SOCIAL Y AFINES",NO INDICA,SOLTERO,FEMENINO,NINGUNA,-1,"(6.42375, -66.58973)",3
SUIZA,CHE,C. BERNA,ADULTO,34,CIENCIAS SOCIALES Y HUMANAS,DERECHO Y AFINES,NO INDICA,SOLTERO,MASCULINO,OTRO,-1,"(46.818188, 8.227512)",1
ESTADOS UNIDOS,USA,C. ATLANTA,ADULTO MAYOR,66,NO INDICA,NO INDICA,BACHILLERATO,SOLTERO,FEMENINO,OTRO,165,"(37.09024, -95.712891)",1
CANADA,CAN,C. CALGARY,ADULTO,50,"INGENIERÍA, ARQUITECTURA Y AFINES",INGENIERÍA INDUSTRIAL Y AFINES,POSTGRADO - MAESTRIA,CASADO,FEMENINO,NINGUNA,164,"(56.130366, -106.346771)",1
PANAMA,PAN,C. COLON,ADULTO,37,NO INDICA,NO INDICA,BACHILLERATO,UNION_LIBRE,FEMENINO,NINGUNA,165,"(8.537981, -80.782127)",1
ESTADOS UNIDOS,USA,C. HOUSTON,ADULTO MAYOR,70,CIENCIAS SOCIALES Y HUMANAS,"SOCIOLOGÍA, TRABAJO SOCIAL Y AFINES",NO INDICA,CASADO,FEMENINO,OTRO,-1,"(37.09024, -95.712891)",1
ESPAÑA,ESP,C. LAS PALMAS DE G.C,ADULTO,35,NINGUNA,NINGUNA,BACHILLERATO,SOLTERO,FEMENINO,NINGUNA,154,"(40.463667, -3.74922)",1
ITALIA,ITA,C. ROMA,ADULTO JOVEN,24,CIENCIAS SOCIALES Y HUMANAS,"PERIODISMO, COMUNICACIÓN SOCIAL Y AFINES",NO INDICA,SOLTERO,FEMENINO,NINGUNA,-1,"(41.87194, 12.56738)",1
ESTADOS UNIDOS,USA,C. NUEVA YORK,ADULTO,53,"ECONOMÍA, ADMINISTRACIÓN CONTADURIA Y AFINES",ECONOMÍA,NO INDICA,CASADO,FEMENINO,OTRO,-1,"(37.09024, -95.712891)",2
ESTADOS UNIDOS,USA,C. NEWARK,ADULTO,58,"ECONOMÍA, ADMINISTRACIÓN CONTADURIA Y AFINES",ADMINISTRACIÓN,NO INDICA,SOLTERO,FEMENINO,OTRO,-1,"(37.09024, -95.712891)",4
ESTADOS UNIDOS,USA,C. LOS ANGELES,ADULTO JOVEN,27,CIENCIAS DE LA SALUD,SALUD PÚBLICA,PREGRADO - TÉCNICO PROFESIONAL,SOLTERO,MASCULINO,NINGUNA,-1,"(37.09024, -95.712891)",1
VENEZUELA,VEN,C. VALENCIA VEN,ADULTO,58,"INGENIERÍA, ARQUITECTURA Y AFINES","INGENIERÍA EN SISTEMAS, TELEMÁTICA Y AFINES",NO INDICA,CASADO,MASCULINO,OTRO,-1,"(6.42375, -66.58973)",1
ESTADOS UNIDOS,USA,C. BOSTON,ADULTO,44,NINGUNA,NINGUNA,BACHILLERATO,SOLTERO,MASCULINO,NINGUNA,170,"(37.09024, -95.712891)",1
ESPAÑA,ESP,C. BILBAO,ADULTO,31,BELLAS ARTES,DISEÑO,PREGRADO - TÉCNICO PROFESIONAL,SOLTERO,FEMENINO,NINGUNA,-1,"(40.463667, -3.74922)",1
PERU,PER,C. LIMA,ADULTO,34,BELLAS ARTES,DISEÑO,NO INDICA,DESCONOCIDO,MASCULINO,OTRO,-1,"(-9.189967, -75.015152)",1
ESTADOS UNIDOS,USA,C. MIAMI,ADULTO,44,"INGENIERÍA, ARQUITECTURA Y AFINES",INGENIERÍA INDUSTRIAL Y AFINES,POSTGRADO - ESPECIALIZACIÓN,SOLTERO,FEMENINO,NINGUNA,160,"(37.09024, -95.712891)",1
ARUBA,ABW,C. ARUBA,ADULTO,56,"INGENIERÍA, ARQUITECTURA Y AFINES",OTRAS INGENIERÍAS,NO INDICA,CASADO,MASCULINO,OTRO,-1,"(12.52111, -69.968338)",1
ESTADOS UNIDOS,USA,C. ORLANDO,ADULTO,34,"ECONOMÍA, ADMINISTRACIÓN CONTADURIA Y AFINES",CONTADURÍA PÚBLICA,NO INDICA,SOLTERO,MASCULINO,NINGUNA,173,"(37.09024, -95.712891)",1
CANADA,CAN,C. TORONTO,ADULTO MAYOR,74,NO INDICA,NO INDICA,PREGRADO - PROFESIONAL,DESCONOCIDO,MASCULINO,SIN ETNIA REGISTRADA,173,"(56.130366, -106.346771)",1
ESTADOS UNIDOS,USA,C. ATLANTA,ADULTO MAYOR,62,"INGENIERÍA, ARQUITECTURA Y AFINES",INGENIERÍA INDUSTRIAL Y AFINES,NO INDICA,CASADO,MASCULINO,NINGUNA,-1,"(37.09024, -95.712891)",1
ESTADOS UNIDOS,USA,C. NUEVA YORK,ADULTO,57,NO INDICA,NO INDICA,BACHILLERATO,UNION_LIBRE,MASCULINO,SIN ETNIA REGISTRADA,166,"(37.09024, -95.712891)",1
ESPAÑA,ESP,C. VALENCIA ESP,PRIMERA INFANCIA,5,NINGUNA,NINGUNA,NO INDICA,SOLTERO,MASCULINO,NINGUNA,-1,"(40.463667, -3.74922)",6
ESTADOS UNIDOS,USA,C. NUEVA YORK,ADULTO,49,NO INDICA,NO INDICA,PREGRADO - TECNOLÓGICO,CASADO,FEMENINO,OTRO,154,"(37.09024, -95.712891)",1
ESTADOS UNIDOS,USA,C. MIAMI,ADULTO MAYOR,64,"INGENIERÍA, ARQUITECTURA Y AFINES","INGENIERÍA EN SISTEMAS, TELEMÁTICA Y AFINES",PREGRADO - PROFESIONAL,DIVORCIADO,MASCULINO,NINGUNA,173,"(37.09024, -95.712891)",1
ESTADOS UNIDOS,USA,C. ATLANTA,ADULTO,38,"INGENIERÍA, ARQUITECTURA Y AFINES","INGENIERÍA EN SISTEMAS, TELEMÁTICA Y AFINES",PREGRADO - PROFESIONAL,CASADO,MASCULINO,NINGUNA,-1,"(37.09024, -95.712891)",1
ESTADOS UNIDOS,USA,C. HOUSTON,ADULTO MAYOR,76,"INGENIERÍA, ARQUITECTURA Y AFINES",ARQUITECTURA,PREGRADO - PROFESIONAL,CASADO,FEMENINO,NINGUNA,174,"(37.09024, -95.712891)",1
CANADA,CAN,C. CALGARY,ADULTO,49,NO INDICA,NO INDICA,BACHILLERATO,DIVORCIADO,FEMENINO,NINGUNA,156,"(56.130366, -106.346771)",1
VENEZUELA,VEN,C. BARQUISIMETO,ADULTO,39,NINGUNA,NINGUNA,BACHILLERATO,SOLTERO,FEMENINO,NINGUNA,160,"(6.42375, -66.58973)",2
VENEZUELA,VEN,C. MARACAIBO,ADULTO MAYOR,76,NINGUNA,NINGUNA,PRIMARIA,UNION_LIBRE,MASCULINO,NINGUNA,-1,"(6.42375, -66.58973)",1
ESTADOS UNIDOS,USA,C. LOS ANGELES,ADULTO,51,NINGUNA,NINGUNA,NO INDICA,CASADO,FEMENINO,OTRO,162,"(37.09024, -95.712891)",1
VENEZUELA,VEN,C. MARACAIBO,ADULTO,46,NO INDICA,NO INDICA,PREGRADO - PROFESIONAL,SOLTERO,FEMENINO,SIN ETNIA REGISTRADA,158,"(6.42375, -66.58973)",1
MEXICO,MEX,C. MEXICO,ADULTO,36,"AGRONOMÍA, VETERINARIA Y AFINES",AGRONOMÍA,PREGRADO - PROFESIONAL,SOLTERO,FEMENINO,NINGUNA,163,"(23.634501, -102.552784)",1
ESPAÑA,ESP,C. VALENCIA ESP,ADULTO,48,NINGUNA,NINGUNA,PRIMARIA,VIUDO,FEMENINO,NINGUNA,-1,"(40.463667, -3.74922)",1
ESPAÑA,ESP,C. PALMA DE MALLORCA,ADULTO MAYOR,82,CIENCIAS DE LA SALUD,TERAPIAS,NO INDICA,CASADO,FEMENINO,OTRO,-1,"(40.463667, -3.74922)",1
ESPAÑA,ESP,C. BARCELONA,ADULTO,40,NINGUNA,NINGUNA,PREGRADO - TÉCNICO PROFESIONAL,CASADO,MASCULINO,NINGUNA,165,"(40.463667, -3.74922)",1
ESTADOS UNIDOS,USA,C. HOUSTON,ADULTO,45,BELLAS ARTES,"ARTES PLÁSTICAS, VISUALES Y AFINES",POSTGRADO - MAESTRIA,CASADO,FEMENINO,NINGUNA,156,"(37.09024, -95.712891)",1
VENEZUELA,VEN,C. CARACAS,ADULTO MAYOR,77,"INGENIERÍA, ARQUITECTURA Y AFINES",INGENIERÍA MECÁNICA Y AFINES,NO INDICA,CASADO,MASCULINO,NINGUNA,-1,"(6.42375, -66.58973)",2
BRASIL,BRA,C. BRASILIA,ADULTO JOVEN,28,NINGUNA,NINGUNA,NO INDICA,SOLTERO,FEMENINO,OTRO,-1,"(-14.235004, -51.92528)",4
ESPAÑA,ESP,C. MADRID,ADULTO,35,BELLAS ARTES,PUBLICIDAD Y AFINES,PREGRADO - PROFESIONAL,CASADO,MASCULINO,OTRO,182,"(40.463667, -3.74922)",1
ECUADOR,ECU,C. GUAYAQUIL,ADULTO,31,NO INDICA,NO INDICA,PRIMARIA,UNION_LIBRE,MASCULINO,SIN ETNIA REGISTRADA,168,"(-1.831239, -78.183406)",1
ESPAÑA,ESP,C. MADRID,ADULTO,50,CIENCIAS DE LA SALUD,MEDICINA,NO INDICA,DIVORCIADO,FEMENINO,NINGUNA,-1,"(40.463667, -3.74922)",1
ESPAÑA,ESP,C. BARCELONA,ADULTO,39,NO INDICA,COCINA Y CULINARIA,NO INDICA,SOLTERO,FEMENINO,NINGUNA,-1,"(40.463667, -3.74922)",1
VENEZUELA,VEN,C. BARINAS,ADULTO MAYOR,74,NO INDICA,NO INDICA,PRIMARIA,CASADO,FEMENINO,NINGUNA,170,"(6.42375, -66.58973)",1
ESPAÑA,ESP,C. MADRID,ADULTO,46,NINGUNA,NINGUNA,BACHILLERATO,SOLTERO,FEMENINO,NINGUNA,162,"(40.463667, -3.74922)",3
ESPAÑA,ESP,C. VALENCIA ESP,ADULTO,57,NINGUNA,NINGUNA,BACHILLERATO,CASADO,MASCULINO,NINGUNA,170,"(40.463667, -3.74922)",2
ESTADOS UNIDOS,USA,C. NEWARK,ADULTO MAYOR,63,"ECONOMÍA, ADMINISTRACIÓN CONTADURIA Y AFINES",CONTADURÍA PÚBLICA,NO INDICA,DIVORCIADO,FEMENINO,OTRO,-1,"(37.09024, -95.712891)",1
BRASIL,BRA,C. BRASILIA,ADULTO,37,"INGENIERÍA, ARQUITECTURA Y AFINES",INGENIERÍA INDUSTRIAL Y AFINES,NO INDICA,CASADO,FEMENINO,NINGUNA,-1,"(-14.235004, -51.92528)",1
VENEZUELA,VEN,C. MARACAIBO,ADULTO,33,"INGENIERÍA, ARQUITECTURA Y AFINES",OTRAS INGENIERÍAS,NO INDICA,SOLTERO,MASCULINO,OTRO,-1,"(6.42375, -66.58973)",1
ESTADOS UNIDOS,USA,C. LOS ANGELES,ADULTO MAYOR,63,NINGUNA,NINGUNA,BACHILLERATO,UNION_LIBRE,MASCULINO,OTRO,-1,"(37.09024, -95.712891)",1
VENEZUELA,VEN,C. MARACAIBO,ADULTO,38,NO INDICA,NO INDICA,PRIMARIA,SOLTERO,MASCULINO,SIN ETNIA REGISTRADA,174,"(6.42375, -66.58973)",1
VENEZUELA,VEN,C. BARINAS,ADULTO,51,NINGUNA,NINGUNA,NO INDICA,CASADO,FEMENINO,NINGUNA,-1,"(6.42375, -66.58973)",5
CHILE,CHL,C. SANTIAGO,ADULTO,46,BELLAS ARTES,OTRO PROGRAMA DE BELLAS ARTES,NO INDICA,CASADO,FEMENINO,NINGUNA,-1,"(-35.675147, -71.542969)",1
VENEZUELA,VEN,C. MARACAIBO,ADULTO,43,NO INDICA,NO INDICA,BACHILLERATO,UNION_LIBRE,FEMENINO,SIN ETNIA REGISTRADA,158,"(6.42375, -66.58973)",1
ESTADOS UNIDOS,USA,C. NEWARK,ADULTO JOVEN,27,"ECONOMÍA, ADMINISTRACIÓN CONTADURIA Y AFINES",CONTADURÍA PÚBLICA,PREGRADO - PROFESIONAL,SOLTERO,MASCULINO,NINGUNA,-1,"(37.09024, -95.712891)",1
VENEZUELA,VEN,C. MERIDA VEN,ADULTO,34,"INGENIERÍA, ARQUITECTURA Y AFINES",INGENIERÍA CIVIL Y AFINES,PREGRADO - PROFESIONAL,SOLTERO,MASCULINO,NINGUNA,-1,"(6.42375, -66.58973)",1
MEXICO,MEX,C. GUADALAJARA,ADULTO,41,"INGENIERÍA, ARQUITECTURA Y AFINES",INGENIERÍA INDUSTRIAL Y AFINES,NO INDICA,SOLTERO,FEMENINO,NINGUNA,-1,"(23.634501, -102.552784)",1
ESTADOS UNIDOS,USA,C. HOUSTON,ADULTO,53,CIENCIAS DE LA EDUCACIÓN,EDUCACIÓN,NO INDICA,SOLTERO,MASCULINO,OTRO,-1,"(37.09024, -95.712891)",1
CURAÇAO,CUW,C. WILLEMSTAD,ADULTO,59,NO INDICA,NO INDICA,NO INDICA,SOLTERO,FEMENINO,NINGUNA,156,"(12.16957, -68.990021)",1
